content,score
good,5
"pesan gofood masak disuruh nunggu driver sampai hampir 2 jam, mengecewakan sekali akhirnya pesanan datang ketika sudah makan dari beli yang lain karena nunggu terlalu lama. mau dibatalin tidak bisa, kenapa sih susah sekali untuk pembatalan saja padahal jelas2 nunggunya terlalu lama, mohon diperbaiki untuk sistem tunggu maksimal mungkin sekitar 15 menit saja selebihnya pembeli berhak untuk membatalkan jika menunggu terlalu lama bukan malah disuruh nunggu sampai hampir 2 jam yaa kelaparan dong.",1
mantap,5
sering kecewa dari gofood. sudah nunggu lama makanan sudah jadi tapi tidak ada driver tiba2 pesanan dibatalkan.,1
susah banget cari driver utk gofood. pesan makanan sudah nunggu lama 1 jam tetap tidak dapat driver. pesan ulang... jg begitu nunggu lama 1 jam tidak dapat driver. ganti resto tetap sama sudah nunggu 1 jam tetap tidak dpt driver. pesan dari jam 6 sore sampai jam 9 malam.... hasilnya zonk. cuma capek nunggu.,3
sejauh ini sangat user friendly,5
"lama dan susah bgt dapet driver kenapa sii uda 2kali pesen kaya gitu terus, buang buang waktu hrus nunggu sejam ujung""nya tetep dibatalin mana lagi laper bgt dibelain nungguğŸ‘ğŸ»ğŸ‘ğŸ»",1
temen perjalanan,5
"mohon diperbaiki pelayanan apk nya, sudah sering mengalami pesan gofood 1 jam kemudian di cancel. driver juga banyak yg bermasalah. tolong lebih diperhatikan kembali.",3
klo hujan gak ada driver yg bisa anter makanan didaerah itu mending tutup aja aplikasinya..menyusahkan!,2
"BUAT YG BELUM PERNAH PINJAM DI SINI JANGAN SAMPE YA KARNA, TELAT 1 HARI AJA PENAGIHANNYA UDH KYA SETAN. NGALAHIN PINJOL ILEGAL. SEBAR DATA SEBAR KONTAK. GAK NGOTAK. PENGADUAN LEWAT DM DI IG EMAIL DLL PERCUMA GAK DIRESPON",1
Evaluasi komplain dari pelanggan,1
"makin kesini, kenapa gojek makin Ngga oke ya? setiap pesan ojek online maupun gofood, selalu lama. padahal jarak ngga jauh, ngga hujan, ngga badai. Kita udh laper, berharap segera datang, malah ngga dapat"" driver.",1
"selalu ada notif gak bisa bayar ke google play di jam 21.30, padahal gapernah berlangganan apapun",1
"Banyak driver sombong, jarak deket aja tarifnya selangit, mending pake apk lain aja",1
oke,5
kecewa sama driver kalian 2x mesen gofood org beda kembalian ga sesuai saya diemin mungkin lg ambil di tas/dmpet atau gmnaa eh malah bablas di chat ga bls barusan tadi sama sengaja saya diemen malah bablas wkwk 50 di pake 27 di kembalikan 12k hmm ko jadi gini gojek makin buruk para drivernya saya ga akan mereka kasih rating buruk karena mereka cari nafkah buat keluarga,3
"aplikasi yang driver gofood dan lainnya manja, hujan gerimis saja driver 2x dapat 2x kali pula dibatalin...beda Aplikasi sebelah.",1
bagus,5
apk nya bagus semoga bisa lebih berkembang dan maju lagiğŸ‘ŒğŸ‘Œ,5
"GOFOOD SANGAT MENGECEWAKAN DRIVER SUSAH BANGET DIDAPAT PADAHAL JARAK JUGA TIDAK JAUH, NUNGGU PROSES NYA 1 JAM TIDAK BISA DIBATALIN, AYOLAH SPT ITU SANGAT EGOIS, JIKA MEMANG SDH TIDAK ADA DRIVER YG MENGAMBIL, SEKIRANYA BISA DONG LANGSUNG DIBATALIN PESANANNYA, GAPAKE NUNGGU 1 JAM!!!",1
bagus,5
aplikasi online food yang sangat buruuuuk sekali biaya ongkos kirim mahal susah dapat driver saya pesan makanan dari jam 18.00 nyampai ke saya pukul 20.37 lamaaaaa polll lelet mahal,1
"dari dlu sllu pakai gojek,enak,nyaman,cpet,sukses sllu",5
gojek memudahkan pembelian makanan dan juga untuk mengantar ke lokasi yang ingin kita tuju,5
"Pesan makanan dari sebelum jam 7 malam g ada driver. Begitu dapat driver, driver nya cancel. Dapat driver yg kedua sekitar 1jam. Makanan sampai rumah setengah 9. Aktifin lagi dong, tombol cancel order nya, atau perpendek waktu tunggu dari order maks 30 menit g ada driver bisa di-cancel.",3
"mantap gas pol, banyak promonya",5
kalau memang tidak ada driver ya dari awal adain opsi pemnagalan masa ga bisa dibatalin padah udah nunhgu lebih dari 1 jam bahkan kejadiannya berulang,1
"saya kecewa pakai Gocar disetiap cuaca Hujan selalu ga ada Driver yg mau, padahal saya pakai yg Standart tanpa Promo masih ajha tidak ada respon, saya mau kerja jadi TERLAMBAT TOLONG TANGGAPAN CEPATNYA min kalau DRIVER ga ada yang niat semua mending TUTUP APLIKASI ajha ğŸ¤¬ğŸ¤¬ğŸ¤¬",1
goodjob,5
Respon CS Go Food JELEK BGT,1
"beli makanan pake go food pas hujan susah cari driver, di cancel ndak bisa dan menunggu 1 jam lebih biar bisa auto cancel, segera diperbaiki sistemnya. minta bantuan CS malah isinya tentang driver semua padahal belum dapat driver sangat tolol sistemnya",1
"parah x sih. segera akan di uninstall 1keluargaku. malas pake gojek lg. g bermutu aplikasinya. kecewa bgt sama gojek ni. uda 2x dpt kejadian begini, tggu lama bgt pesanan gofood tak dtg2, mana g bisa cancel pdhl hrs cari makanan lain krn ngejar makan anak sdgkn pesanan di gofood lamanya mnt ampun, mau g mau ditgguin terus ampe 1jam, ujg2nya y dicancel. mau cancel sndr g bs. mau pesan mkn lain, tkt yg ini dtg. BURUK X KAU GOJEK",1
promo khusus pengguna baru nya kaga ada sekarang hadehh,1
"sedih banget , saya sebagai penjual, makanan udah di siapin , driver udah datang tiba tiba ke cancel dong ,,, harusnya kalau udah di siapin jangan di cancel secara sepihak min ğŸ˜“ngrugiin banyak orang",1
kami membutuhkan gojek gocar untuk berpergian dan pulang menuju rumah saat keadaan darurat dan HUJAN.sekali lagi saat Hujan tapi kenapa dibutuhkan saat hujan sekali lagi saat HUJAN selalu tidak ada driver .,1
susah dapat kan driver kalau pun di aplikasi di buat 20 menit bisa nyampeknya 1 jam lewat,1
"gofood sering di cancel entah dari resto/ driver, yang bikin kesel udah nunggu sampe sejam malah di cancel....",1
"nyari driver selalu susah, mau batalin pesenan juga lama bgt org sudah lapar mana uda bayar pake TF",1
setia dari 2016...terimakasih sudah banyak membantu setiap aktivitas,5
"goofoodnya g dapat driver udh 1 jam keburu kelaparan,g bisa di batalin lg",1
bagus dan berguna,5
aplikasi pelit mahal,1
setiap hujan dan pesan gocar selalu ga dapat atau di reject oleh driver. hanya saat kondisi hujan,1
Cepat dan tepat waktu,5
ceritanya panjangğŸ¤­ğŸ¤­,5
"bener"" gawaras!!! nunggu 1 jam ternyata ga cancel sistem karena gaada driver kenapa ga 15 bisa cancel sendiri karena gaada driver? 1 jam kelaparan gajadi makan!!!!",1
Pelayanannya bagus cocok buat yang mager bisa pesen lewat gojek,5
makin lama aplikasinya makin buruk..,1
"MAHAL BANGET ANJING ONGKIR GOFOOD NYA SEKARANG, YAKALI ONGKIR SAMPEK 70 RIBU!! KEBELET NAIK HAJI INI APLIKASI SATU",1
baik,5
"gak dapat"" driver",1
"gofood bobrok banget, sulit dapat driver tapi susah banget di cancel, ada menu chat dengan cs tapi yang balesin bot, waktu untuk menunggu driver juga berubah ubah Halah gak tau lah gimna lagi jelasinnya, emang paling bener untuk food beli pakek aplikasi lain",1
"sekarang apklikasi gojek ini sangat jelek, sudah mahal, lambat Pula mencari Draivernya, Pokoknya tidak rekomet sekarang pakai Gojek.",1
"ribet banget mau bayar gopay pinjam ribet karena saya lupa pin dan nomer yang terdaftar udah gak kepakek, kasih opsi kirim otp ke gmail dong ngapain bisa sambungin ke email tapi pilihan kirim otp gak bisa ke gmail, saya sudah memulihkan akun tapi kenapa masih harus memasukan pin gopay emang ribet banget",1
"voucher hilang ketika ada pembatalan dari toko bukan dari diri kita, dan itu sangat merugikan, seharusnya ada refund untuk voucher itu tapi malah hilang. sama saja seperti judi haram hukumnya.",1
good bagus,5
"tidak berguna disaat penting, jika hujan, driver mobil tidak ada yang menerima. meski sudah pilih prioritas dengan penambahan biaya",1
mantap,5
bagus euy,5
"driver mobil banyak yg mager, sering kena cancel orderan.. kaya ga niat kerja",1
"mohon tingkatkan layanan gocar,,krn bnyak driver pilih2 rute.. di chat gk bls tau2 cancel pdhl udh nunggu lama.. tyus klo semisal yg pesen itu urgent mw lahiran gmn coba???",3
aplikasi paling top!!ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»,5
Bagus 1,5
memudahkan tranportasi kita,5
"cepat datang kendaraan motor ataupun mobil, kerjaan lancar deh",5
good,5
selalu mendapat driver yg baik,5
wow,5
aplikasi nya cukup membantu buat orang yang mager buat beli makanan.,5
"nyaman ,aman, ramahproses penjemputan cepat",5
coba di benahi lagi SDM nya,1
thanks to gojek.,5
tak diragukan,5
sangat bermanfaat ğŸ‘ğŸ‘,5
"Aneh banget beli token listrik 20k ajh di sangka transaksi yang mencurigakan terus langsung di blokir paylater nya lucu banget sumpah,katanya tunggu selama 7hari sekarang sudah 1bulan lebih tidak bisa di gunakan lucu banget kan",1
perjalan jadi lebih mudah,5
"di bali susah bgt dapet driver buat gocar susah bgt dpt driver padahl udah pke prioritas driver pada on tapi gak jalan2 diem bae minta biar kita cancel tiap butuh selalu ada drama gini nyebelin bgt bnerin tuh mitramu smua padahal bayar loh bukan numpang!!!!!!!!!! tolong perbaikin ini nyusahin bgttttt!!!!! ini aku bls lagi bukan karna di jam sibuk itu drivermu on smua tapi diem baee gak jalan2, lain kali buat aturan klo gak mau ambil orderan sruh jangan on aplikasi mreka",1
"bilangin sama driver gocar kalian, kalau penumpang lagi pakai jasa kalian subuh2 dan minta nyalain lampu dalam mobil tuh nyalain, ini supirnya pas diminta malah kekeh ngga mau nyalain. alhasil mobil jadi gelap dan bikin ga nyaman, serba takut di sepanjang jalan. gila yaa!",1
"berguna banget buat aku yg pergi"" an jadi lebih mudah",5
membantu anda untuk mengantar ketujuan anda,4
terbantu banget,5
"Payah, dapat potongan eh di batalkan kurir, minimal gocar yang batalkan tuh dikasih sanksi lah, seenaknya batalin,mentangÂ² kami dapat diskon,dia malah bilang yaelah sigutamh pesen gojek aja pak. taee emang sipaling ngemanjain mitraaa.",1
good,4
"bagus ,, makanannya enak sedap",5
"daftar GK bisa,,,,Aplikasi tolol",1
Gojek selalu membantu dan memberi kemudahan serta manfaat.,5
"UNTUK YG LAPAR MENDING PAKE APLIKASI LAIN SAJA ..ORDER GOFOOD YG ADA MALAH KELPARAN,.ALASAN NYA BA BI BU....ALASAN JAM SIBUK/ APAKEK GA AD GUNANYA.KALAU DI LIAT DI LAPANGAN DRIVER NUMPUK BANYAK PADA NGANGUR..ITU SEMUA ALASAN APLIKATOR ORDERAN DI GABUNG2 IN ..BIAR UNTUNG BESAR(SERAKAH TIADA AKHIR). SEDANGKAN DRIVER DI LAPANGAN ONGKOS MASIH DI KORUP TERUS.",1
"sakit hati saya sama aplikasi ini, hususnya gofood udah jelas pesanan saya selesai tinggal antar, malah double order katanya dari aplikasinya jadi harus nungguin lagi lama, dan ga ada tombol pembatalan. aplikasi bot",1
sangat membantu ğŸ‘,5
"simple, keren , mantap dah",5
tolong adakan fitur nontol,1
gopaynya buat skan qris susah bgt walaupun gambar qrisnya udah jelas bangetğŸ˜‘ğŸ˜‘,3
"Gojek sengaja ya setengah lebih dari layar pantau kepakai buat iklan dan info driver nya doang. sedanglayar pantau sendiri sedikit banget sampai gak terlihat tuh, gimana mantaunya??? Tolol banget, sengaja lu kalau ada masalah biar bisa berkelit??? udah biaya gojek naik jauh banget jadi mahal skarang ada segala pilihan hematlah tanpa ribetlah... padahal tetep aja drivernya lama datengnya... segera perbaiki kalau masih berharap banyak pengguna",1
ok,5
saya senang menggunakan aplikasi ini karena sangat mudah untuk waktunya bepergian,5
semua nya bagus,5
Pesan ayam mala yg datang kentangğŸ˜¤ğŸ˜¤,5
ok,5
Tetap semangat di 2026,5
merpermudah perjalanan,5
cepat dan akurat,5
mantaaap,5
Gojek is the best,5
Mohon maaf saya instal aplikasi ini cuma utk komplain...apakah ada ketentuan waktu tunggu saat mengambil brg gosend??? saya bener2 muak dgn driver nya yg tua itu. Seakan2 ndak butuh orderan (nunggu sedelok wae rak gelem)..aplikasi GATEL !!!!,1
baik,5
mantap,5
good,5
good,4
Alhamdulillah,5
sangat membantu usaha saya..utamanya fitur gosend,5
nyaman sekali,5
Saya dapat diskon terus,5
saya dapat diskon terus. TERBAIK,5
sangat membantu,5
oke appnya,5
parah banget anjir ga bisa batalin go food padalah baru di klik,1
gojek sangat membantu sekali.,5
oke banyakin diskonnya kalau bisa ya,5
SEKARANG LAMA BANGET DAPAT DRIVER NYA.. PESEN MAKAN 1JAM LEBIH BARU NYAMPE.. TUTUP AJA GOJEK ONGKIR MAHAL PELAYANAN LELET.. GK KAYA DULU SAT SET,1
dpt diskon ktnya. taunya ada biaya penangan. lbh gede dr ongkir. tinggalkan ajalah gojek ini.,1
"Sangat buruk, pinjaman sudah lunas masih ditagih, sama saja melakukan pemerasan.",1
ok lah,5
Hujan2 dikirimi makanan..eh mantan si dong kita kangen2an ğŸ˜†,5
bagus,5
sangat puas,5
terkadang driver gak niat jemput customer nya,4
aplikasi yang cukup membantu baik dalam bepergian dan saat membutuhkan makanan,5
"mudah praktis,murah,ramah",5
ok,5
baik,5
so friendly,5
"Go-jek tolong bikin fitur auto cancel jika ada Driver yg ""nakal"", sy sudah 2x pesen go-food di resto langganan tapi ada oknum driver yg asal minta tambahan biaya parkir.... padahal jelas-jelas tiap beli makanan di tempat yg sama tidak ada biaya parkir. Kesannya oknum driver mau menguntungkan sendiri tapi merugikan customer dengan cara yg tidak jujur.",5
sangat terbantu,5
Aku Terbantu banget jadi enak kalo pesen makanan sama mau kemana aja pokoknya mantap lahğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,5
"kalau gofuud selalu bilangnya telat, padahal udh pesan express!",1
drivernya kebanyakan songongÂ²,1
incredible,5
lumayan cepat layanan nya,4
sangat suka pakai gojek,5
ITS oke,5
aplikasi ga ada gunanyav,1
mantap,5
"Aplikasi payah, menghapus aplikasi terhubung tidak bisa",1
sangat kecewa setiap mesan gofood pasti mencari driver nya lama sekali udah nunggu 1 jam ga dapat2 kalau hari hujan kita maklum kan ini cuana bagus nyari driver nya kaya nyari artis sangat kecewa dengan pelayanan nya,1
gak rugi pakai gojek ğŸ¤©,5
gak pernah kecewa sama gojek,5
membantu bgt,5
"tolong gojek di edukasi lagi drivernya, sy pesan GoCar prioritas , sudah nunggu lumayan lama karna posisi driver macet, tapi pas udah dekat lokasi jemput driver malah menjauh posiisnya, di chat telp gak langsung di respon, rupanya driver sedang ngantar barang penumpang sebelumnya ketinggala. saya loh pesan prioritas biar di utamakan. malah seperti itu jadinya",3
sangat baik,5
"Busuk nih aplikasi. pesan gofood lama, sama beberapa kalo extend waktu. dibatalin gak bisa karena katanya resto sudah konfirmasi dan sudah buatin orderannya. tapi gak dapat-dapat driver. Tapi ketika cari nomer resti di gmaps, konfirmasi apakah benar orderan masuk dan sudah dibuatin, katanya TIDAK Masuk Dan belum buatin. Saya mutuskan telp karena kalau dah dibuatin mau diambil aja, ngalah ngambil. Biar gak dirugiin restonya, dan makanan tidak terbuang. Mending pindah aplikasi sebelah aja.",1
aplikasi bagus recomended,5
"untuk daerah Yogya, kenapa aplikasinya lama banget dapatin drivernya. kesal aku, nunggu hampir 1 jam setengah untuk gofood doang. emang sebermasalah itu kan?",1
kalau hujan susah dapat driver mohon dipercepatğŸ™ğŸ™,2
mantap,5
sebenarnya oke oke aja tapi ongkirnya nggak mau ke pakai,4
apk taik sulit dapet driver,1
mantap,5
payah kode OTP gagal . padahal sudah benar kodenya. buruk sekali,1
tutup aja perusahaannya sejam gak dapet driver juga parah sih,1
waw......sangat ramah utk pengeluaran uang sy sangat senang sekali pakai aplikasi gojek....,5
"bikin pengaturan gimana sih, pesen makanan harus nunggu cari driver sampai hampir 2 jam baru bisa di batalkan. makin gilak emang ni aplikasi",1
cari cari gk dapet kelamaan,1
mantul,5
bagus banget,5
APLIKASI YG BURUK...bintang 1,1
"sangat susah mencari driver saya pesen makanan nungguin lebih 1 jam setengah giliran dapet driver malah dibatalin sama drivernya, saya sangat kecewa apk tidak berguna,",1
"susah bgt dapet driver kalau pesen makanan, lalu pembatalannya butuh beberapa menit, padahal posisi pesen makannya pas kondisi badan gk fit",1
"Tolong banget kasih solusi yg lain dong, udah sering bnget gk dapet driver wktu pesen gofood, mana gak bisa dibatalin, pake nunggu 1 jam dlu, bru batal otomatis, kelamaan. tolong bnget deh biar lebih mempermudah dn gk ngerugiin kedua pihak juga",2
"semakin kesini semakin payahh ..dlu gofud paling lama 20menit, skrg bisa 1jam gak dpet2 driverr!!",1
"susah bgt dapat driver sekarang, udah nya ongkir mahal, susah dapat driver lagi padahal udah pesen express tapi harus nunggu 2jam, dan penanganan cs kurang membantu",2
"driver kalian itu super lelet. sekarang tiap pesan apa pun, berapa pun jaraknya ga pernah langsung ada yg pick up, buang-buang waktu banget! Bintang kalian yang 4,7 di Google Play ini saya yakin pake jasa buzzer biar ratingnya tinggi. Uninstall!",1
"pemesanan makanan tidak bisa di batalkan, fitur terlalu kaku",2
"pantas saja ratting nya JEBLOG aplikasi banyak bermasalah....w mau narik aktif dr pagi jam 7:15 gofood gak ada 1 pun sampe jam 19:12 gak ada 1 pun gofood nyangkut dah muter"" sampe penasan ngetam d dpn mall taman anggrek central park,tanjung duren,Binus,Benhil hasil nya NOLLLLL BESAR kalau gak becus kerja jadi programmer mending RESAIGN kasih kesempatan yang NIAT kerja",1
"habis update kenapa jadi sulit pesan gofood, sudah 1 jam nunggu tau nya driver sibuk gak dapat driver di suruh pesan ulang lagi",2
sukses terus,5
"persebaran driver gocar tidak merata. mungkin bisa dibuat sistem biar mengharuskan driver stay merata terutama di daerah yang user aktif berada, bisa ditarik dari algoritma nya user juga kan. saya user aktif jadi merasa dirugikan karena gak nyantol2 driver tapi mau gimana lagi bisanya gocar, kalo ada aplikasi lain mah pilih lain yg penting lekas jemput lekas nyantol",1
nice,4
mohon di percepat pengaktifan gopay plus saya,5
"kasihan yang punya saham gojek . bukannya melakukan perbaikan agar menjadi lebih baik, malah segala lini di buat semakin buruk . berdampak pada nilai saham. karena pelanggan akan makin berkurang. pelanggan yang kecewa tidak akan terpengaruh lagi dengan promo apapun. percuma promo terus2an tapi pelayanannya buruk . atau memang sengaja di buat buruk, lalu bangkrut, pemegang saham jadi merugi .",1
mantap,5
gaenak aj klo pesen makanan ud nunggu lamaa tp gabisa dicancel,1
"ok untuk sekarang drivernya udah lebih ramah, profesional cukup memuaskan untuk drivernya, pelanggan dengan gojek plus+ itu paling diskon paling mentok goride 1.5k-2k ga worth it banget dengan masa langganan 3bln 35k, ya maksud saya sekali sekali adain diskon yang lumayan untuk pengguna, EDIT KAPITALIS BENER SAYA SUDAH BELI GOJEK PLUSS GA ADA PERUBAHAN DISKON, APALAH, MALAHAN VOUCHERNYA UDAH GA ADA LAGI MINIMAL DISKONNYA SAJA SEKARANG CUMA 500P, PALING BESAR 1K SEKARANG ASTAGA",2
siplah,5
"kenapa si klo memang pesan gofood terus di cancel sama driver nya dan harus menunggu waktu yang lama lagi? kenapa ga lsg di cancel dari resto nya atau pemberitahuan ke customer nya dulu? semisal orang nya sudah ga kuat menahan lapar atau ada keperluan lain untuk berangkat, bagaimana klo driver nti mengirim tapi tidak ada orang nya karena terlalu lama menunggu. salah siapa kalo sudah begitu? costumer atau aplikasi? tolong fitur nya di perbaiki lagi",1
puas banget pake gojek.. apalagi kalo diskonnya gedeğŸ¤­,5
joos pokok e,5
ok,5
DRIVER NYA GA JALAN JALAN!! NYESEL BANGET ditungguin lama banget sampe setengah jam masih ga jalan!! nyesel banget download ini. klo gitu mah mending pindah ke MAXIM aja!!,1
"gojek same day dan instan di tokopedia dan juga shopee sulit pickup selalu melakukan pembatalan, ada apa denga gojek same day khususnya di tokopedia sehingga driver selalu membatalkan pickup, permasalahannya bukan ketiadaan driver pada titik lokasi namun driver selalu melakukan pembatalan ketika hendak malakukan pickup, saran saya untuk yang lain jangan gunakan gojek same day pada aplikasi tokopedia, cukup saya yang di kecewakan. Tarik tunai bermasalah, ini kemana lakukan pengaduan",1
terimakasih,5
ini gojek kenapa saya SDH 2 tahun belum juga di panggil.apakah gojek SDH mulai modus tipu2,3
"tadi habis naik gocar dimaki2 sama sopirnya,, y Allah mana sama anak , ada orang galaknya kaya gitu marahnya GK msuk akal",1
mahal banget coyyy beli bakso harga 25 rb.. biaya penanganan + ongkir 18 rb... kagak ngotak ongkir sama penanganan...,1
markotoppp CuyyyğŸ’ªğŸ»ğŸ˜¹,5
"masi banyak bug kakk,kasian masa driver saya kena suspend padahal dia engga salah apa apa",1
mantap ğŸ‘ğŸ‘ praktis,5
ok jozz,5
pengalaman yg menyenang kan,5
istimewa,5
Aplikasi yang sangat membantu,5
menyebalkan untuk gofood tidak bisa dibatalkan pas lagi kepencet !!!!!!!!!!!!!!,1
susah banget 1 jam gak ada yang nerima gocar kadang udah diterima tapi dibatalin sumpah gak worth it bgt!,3
tambahin notif kalau restonya chat dong admin.,4
mempermudah aku yang ga bisa naik motor banget,5
sangat membantu dalam perjalanan,5
sangat membntu,5
"pesen barang pake instant sampe 3hari gada yang ngambil, mending gausah ada pengiriman instant, KOCAK! ğŸ—¿",1
oke nice ğŸ™ğŸ™ğŸ‘ŒğŸ‘Œ,5
selalu ada pas kita butuh driver,5
semangat,5
"aplikasi jelek, saldo ga di refund, udah nunggu 14 hari, disuruh nunggu lagi 14 hari",1
aplikasi Ter luv pokoknya,5
"Untuk pelayanan dan pengantaran Gofood sudah baik, minusnya kalo ada pesan makanan yg kurang itu komplain dan prosesnya lama -_-!!",3
